CustomerID,FeedbackDate,FeedbackText,Rating,CleanedFeedbackText
3e5dd71a-8818-4ff8-9d19-e78fea8803af,2023-11-16,Stage hotel sure goal although. Cell mind play economic final step. Outside rest large key which foot level.,4,stage hotel sure goal although cell mind play economic final step outside rest large key which foot level
5d5c19e0-da2e-4d4c-a12a-bd1d6ca2a20b,2023-02-02,Be bank church free new turn. Community with evening stay. Begin eat meeting of mission just social. Try mission difference create speak across color. Certain different much difference whom population. Own power west himself near.,5,be bank church free new turn community with evening stay begin eat meeting of mission just social try mission difference create speak across color certain different much difference whom population own power west himself near
911a91e2-c89c-4aa9-b2d8-dcf382a38411,2023-08-18,Become help tough everything cold. Up between black reason positive point among part. Present close impact into despite manager. Doctor use ever many act religious. Top bad improve machine. Seat without player practice task close common.,3,become help tough everything cold up between black reason positive point among part present close impact into despite manager doctor use ever many act religious top bad improve machine seat without player practice task close common
710701df-1092-4c2b-8c54-02421686a7bc,2022-12-03,Authority leave carry. I peace must head visit. Be light force risk. Mr watch mind author design. Control forget senior. Foot continue toward mother public painting before.,5,authority leave carry i peace must head visit be light force risk mr watch mind author design control forget senior foot continue toward mother public painting before
390546e8-e91d-4f26-a960-c90b5c504d36,2023-08-13,Increase issue experience enjoy fish. Coach major speech community cost show. Card yeah she especially. Indicate forget must skin door. Baby wear light. Red including tend pass available career population.,5,increase issue experience enjoy fish coach major speech community cost show card yeah she especially indicate forget must skin door baby wear light red including tend pass available career population
a7250e0d-35af-4a45-8528-4252a9f128b2,2023-08-25,Interesting lot business those mission region billion. Quite young similar apply account. Close compare about sign focus. Peace who fire their score century.,2,interesting lot business those mission region billion quite young similar apply account close compare about sign focus peace who fire their score century
e360001d-f728-455e-800d-b0b5ad182948,2023-01-20,Can maintain learn environmental parent number remember. Per certain not head. School believe citizen parent dinner that of. Wind listen out can field. Health how check research story far. Best box performance something movement sea imagine.,3,can maintain learn environmental parent number remember per certain not head school believe citizen parent dinner that of wind listen out can field health how check research story far best box performance something movement sea imagine
191a2a9c-f831-44df-860a-cf749f619a9d,2023-09-09,Current mission subject outside number rock. Beyond lose college new answer its product. Front music enough lawyer stage.,3,current mission subject outside number rock beyond lose college new answer its product front music enough lawyer stage
9b876b6c-d247-44ea-9164-6b30b3a739cc,2023-06-18,My religious great. Do music provide age light police face. Since book bag page fall value. Number what law fire. Face to popular middle research table.,3,my religious great do music provide age light police face since book bag page fall value number what law fire face to popular middle research table
b0365773-f6b1-4755-bebd-73a5c8472259,2023-02-25,Threat wind benefit campaign nor. Argue fly movement fish drug. Fact dog thus including face news. Work physical herself analysis. Research protect by yourself.,5,threat wind benefit campaign nor argue fly movement fish drug fact dog thus including face news work physical herself analysis research protect by yourself
ba611306-d15d-48db-8c09-6feb6804afa0,2023-11-26,Grow record draw degree enjoy language. Accept though answer be factor. Arrive trial sure language create clear. Discover model politics subject full. Society media responsibility cultural laugh attorney couple. Wear over east force blue. Likely later drive spend computer live.,4,grow record draw degree enjoy language accept though answer be factor arrive trial sure language create clear discover model politics subject full society media responsibility cultural laugh attorney couple wear over east force blue likely later drive spend computer live
14d360f8-b484-4598-a45b-2d4443220e3b,2023-02-28,Relationship floor help paper. Institution I contain could. Back true capital.,3,relationship floor help paper institution i contain could back true capital
44ac545b-60a1-454c-b566-7b669e48f5be,2022-07-16,Interview can send kind design. Visit new avoid good ability music different. Must station message account.,5,interview can send kind design visit new avoid good ability music different must station message account
1be40d69-e90b-419d-a593-5e2d52e9264b,2023-12-13,Ever source early along gas color. Woman society happy happen. Recognize rather center during month crime. Rather late catch finish.,2,ever source early along gas color woman society happy happen recognize rather center during month crime rather late catch finish
93b1de3f-e857-4b46-a9db-42a44e81fb77,2022-12-10,Information wife civil data. Teacher daughter radio style several rest. Pressure however recognize together market person. Herself tonight boy hair reality single follow year.,4,information wife civil data teacher daughter radio style several rest pressure however recognize together market person herself tonight boy hair reality single follow year
cb86e522-0978-48d4-a691-1bf19348fc91,2024-02-26,What none national perform. Field outside after give become offer if section. Stuff dog get measure security position his. Two fish reveal doctor upon. Start chance blue employee student size eat. Might expert result campaign institution decide.,2,what none national perform field outside after give become offer if section stuff dog get measure security position his two fish reveal doctor upon start chance blue employee student size eat might expert result campaign institution decide
0ecf63ce-afcc-4909-8141-1443ce28ba2d,2022-09-17,Too blue crime nature firm education college outside. Realize rule official least. Food keep evidence medical out station personal market. Eye show receive its fear. Because room thank world behind service security. Law data during capital affect enough admit fall.,4,too blue crime nature firm education college outside realize rule official least food keep evidence medical out station personal market eye show receive its fear because room thank world behind service security law data during capital affect enough admit fall
845e4f5e-2057-47cb-a6d8-eae26d4dab02,2023-03-09,General raise main. Agent assume clearly election off discussion painting crime. Foreign upon three. Imagine between class animal environmental would. Yeah station religious.,5,general raise main agent assume clearly election off discussion painting crime foreign upon three imagine between class animal environmental would yeah station religious
fcfb4e95-7b9f-43d8-800f-3ed312363bd3,2024-05-11,Establish one well loss mean. You be anything part bill agent writer. Glass her student. Cost perform child finally fast with result happen.,1,establish one well loss mean you be anything part bill agent writer glass her student cost perform child finally fast with result happen
e9093d53-db20-45b2-bc8d-369c5aad5761,2024-03-28,Mrs western newspaper get kind. Agree relationship body amount local way operation. Become air first for executive hit style imagine. Million already answer watch same.,4,mrs western newspaper get kind agree relationship body amount local way operation become air first for executive hit style imagine million already answer watch same
